[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User.groupByInterfacePeople]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User.departmentByInterfacePeople]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Module.forms]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Module.historyForms]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User.roles]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.MetaForm.modules]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Group.users]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Department.interfacePeople]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Group.interfacePeople]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User.eventUsers]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.MetaTable.metaTableColumns]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Module.modleRoles]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User.groupByAdministrators]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Menu.roles]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Role.users]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Department.administrators]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.MetaTable.modules]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User.departmentByAdministrators]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Module.listViews]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Forms.formModules]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Module.tables]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.MetaTable.metaTableRelation]; using defaults.
[INFO] StdSchedulerFactory.instantiate(869) | Using custom data access locking (synchronization): org.quartz.impl.jdbcjobstore.UpdateLockRowSemaphore
[INFO] SchedulerSignalerImpl.<init>(60) | Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
[INFO] QuartzScheduler.<init>(219) | Quartz Scheduler v.1.8.0 created.
[INFO] QuartzScheduler.initialize(241) | Scheduler meta-data: Quartz Scheduler (v1.8.0) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 15 threads.
  Using job-store 'org.springframework.scheduling.quartz.LocalDataSourceJobStore' - which supports persistence. and is not clustered.

[INFO] StdSchedulerFactory.instantiate(1266) | Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
[INFO] StdSchedulerFactory.instantiate(1270) | Quartz scheduler version: 1.8.0
[INFO] QuartzScheduler.setJobFactory(2206) | JobFactory set to: org.springframework.scheduling.quartz.AdaptableJobFactory@65974435
[INFO] QuartzScheduler.start(497) | Scheduler quartzScheduler_$_NON_CLUSTERED started.
[INFO] UpdateChecker.doCheck(86) | New Quartz update(s) found: 1.8.5 [http://www.terracotta.org/kit/reflector?kitID=default&pageID=QuartzChangeLog]
[INFO] UrlRewriteFilter.info(231) | conf reload check disabled
[INFO] UrlRewriteFilter.info(231) | loaded (conf ok)
[INFO] DefaultValidatorFactory.setValidationConfigLocations(78) | Loading validation configurations from [ServletContext resource [/WEB-INF/validation.xml],ServletContext resource [/WEB-INF/validator-rules.xml],ServletContext resource [/WEB-INF/validator-rules-custom.xml]]
[INFO] JwmaKernel.prepareI18N(194) | Prepared i18n resources and mechanisms.
[INFO] JwmaKernel.prepareProcessing(216) | Prepared and ready for textprocessing.
[ERROR] JwmaController.init(81) | Initialization failed.
[WARN] HqlSqlWalker.generatePositionalParameter(929) | [DEPRECATION] Encountered positional parameter near line 1, column 50.  Positional parameter are considered deprecated; use named parameters or JPA-style positional parameters instead.
[INFO] Version.<clinit>(37) | HCANN000001: Hibernate Commons Annotations {4.0.1.Final}
[INFO] Version.logVersion(41) | HHH000412: Hibernate Core {4.1.8.Final}
[INFO] Environment.<clinit>(224) | HHH000205: Loaded properties from resource hibernate.properties: {hibernate.search.analyzer=org.apache.lucene.analysis.en.EnglishAnalyzer, hibernate.search.lucene_version=LUCENE_35, app.search.index.basedir=target/index, hibernate.search.default.exclusive_index_use=true, hibernate.format_sql=false, hibernate.search.worker.execution=sync, hibernate.search.worker.batch_size=100, hibernate.search.default.locking_strategy=simple, hibernate.search.default.directory_provider=filesystem, hibernate.show_sql=false, hibernate.bytecode.use_reflection_optimizer=false, hibernate.search.default.optimizer.transaction_limit.max=100}
[INFO] Environment.buildBytecodeProvider(342) | HHH000021: Bytecode provider name : javassist
[INFO] Configuration.configure(1969) | HHH000044: Configuring from URL: file:/E:/Workspaces/eclipse/yxxf/src/main/webapp/WEB-INF/classes/hibernate.cfg.xml
[INFO] Configuration.doConfigure(2074) | HHH000041: Configured SessionFactory: null
[INFO] Dialect.<init>(123) | HHH000400: Using dialect: org.hibernate.dialect.Oracle10gDialect
[INFO] TransactionFactoryInitiator.initiateService(68) | HHH000399: Using default transaction strategy (direct JDBC transactions)
[INFO] ASTQueryTranslatorFactory.<init>(48) | HHH000397: Using ASTQueryTranslatorFactory
[INFO] UpdateTimestampsCache.<init>(61) | HHH000250: Starting update timestamps cache at region: org.hibernate.cache.spi.UpdateTimestampsCache
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [org.hibernate.cache.spi.UpdateTimestampsCache]; using defaults.
[INFO] StandardQueryCache.<init>(85) | HHH000248: Starting query cache at region: org.hibernate.cache.internal.StandardQueryCache
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [org.hibernate.cache.internal.StandardQueryCache]; using defaults.
[WARN] UUIDHexGenerator.<init>(59) | HHH000409: Using org.hibernate.id.UUIDHexGenerator which does not generate IETF RFC 4122 compliant UUID values; consider using org.hibernate.id.UUIDGenerator instead
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Group]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.MetaTableRelation]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.ListViewButtons]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.FormButton]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.MetaTableColumns]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.DataDictionary]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.ModuleRolePrivilege]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.WidgetDepartment]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.SysConfig]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Module]; using defaults.
[INFO] PojoInstantiator.<init>(85) | HHH000182: No default (no-argument) constructor for class: com.eazytec.model.QuartzJobAudit (class must be instantiated by Interceptor)
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.MetaForm]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.ListView]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Classification]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Message]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.QuickNavigation]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Forms]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Department]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.OperatingFunctionAudit]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Menu]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Widget]; using defaults.
[INFO] PojoInstantiator.<init>(85) | HHH000182: No default (no-argument) constructor for class: com.eazytec.model.ProcessPermission (class must be instantiated by Interceptor)
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.FormNameMappings]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.ListViewGroupSetting]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Role]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.UserWidget]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.UserOpinion]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Layout]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.ListViewColumns]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.ModuleLogs]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.MetaFormField]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Form]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.MetaTable]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User.groups]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Group.administrators]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User.groupByInterfacePeople]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User.departmentByInterfacePeople]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Module.forms]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Module.historyForms]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User.roles]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.MetaForm.modules]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Group.users]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Department.interfacePeople]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Group.interfacePeople]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User.eventUsers]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.MetaTable.metaTableColumns]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Module.modleRoles]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User.groupByAdministrators]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Menu.roles]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Role.users]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Department.administrators]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.MetaTable.modules]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.User.departmentByAdministrators]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Module.listViews]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Forms.formModules]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.Module.tables]; using defaults.
[WARN] AbstractEhcacheRegionFactory.getCache(180) | HHH020003: Could not find a specific ehcache configuration for cache named [com.eazytec.model.MetaTable.metaTableRelation]; using defaults.
[INFO] StdSchedulerFactory.instantiate(869) | Using custom data access locking (synchronization): org.quartz.impl.jdbcjobstore.UpdateLockRowSemaphore
[INFO] SchedulerSignalerImpl.<init>(60) | Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl
[INFO] QuartzScheduler.<init>(219) | Quartz Scheduler v.1.8.0 created.
[INFO] QuartzScheduler.initialize(241) | Scheduler meta-data: Quartz Scheduler (v1.8.0) 'quartzScheduler' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 15 threads.
  Using job-store 'org.springframework.scheduling.quartz.LocalDataSourceJobStore' - which supports persistence. and is not clustered.

[INFO] StdSchedulerFactory.instantiate(1266) | Quartz scheduler 'quartzScheduler' initialized from an externally provided properties instance.
[INFO] StdSchedulerFactory.instantiate(1270) | Quartz scheduler version: 1.8.0
[INFO] QuartzScheduler.setJobFactory(2206) | JobFactory set to: org.springframework.scheduling.quartz.AdaptableJobFactory@5632b4d0
[INFO] QuartzScheduler.start(497) | Scheduler quartzScheduler_$_NON_CLUSTERED started.
[INFO] UpdateChecker.doCheck(86) | New Quartz update(s) found: 1.8.5 [http://www.terracotta.org/kit/reflector?kitID=default&pageID=QuartzChangeLog]
[INFO] UrlRewriteFilter.info(231) | conf reload check disabled
[INFO] UrlRewriteFilter.info(231) | loaded (conf ok)
[INFO] DefaultValidatorFactory.setValidationConfigLocations(78) | Loading validation configurations from [ServletContext resource [/WEB-INF/validation.xml],ServletContext resource [/WEB-INF/validator-rules.xml],ServletContext resource [/WEB-INF/validator-rules-custom.xml]]
[INFO] JwmaKernel.prepareI18N(194) | Prepared i18n resources and mechanisms.
[INFO] JwmaKernel.prepareProcessing(216) | Prepared and ready for textprocessing.
[ERROR] JwmaController.init(81) | Initialization failed.
[INFO] Version.<clinit>(37) | HCANN000001: Hibernate Commons Annotations {4.0.1.Final}
[INFO] Version.logVersion(41) | HHH000412: Hibernate Core {4.1.8.Final}
[INFO] Environment.<clinit>(224) | HHH000205: Loaded properties from resource hibernate.properties: {hibernate.search.analyzer=org.apache.lucene.analysis.en.EnglishAnalyzer, hibernate.search.lucene_version=LUCENE_35, app.search.index.basedir=target/index, hibernate.search.default.exclusive_index_use=true, hibernate.format_sql=false, hibernate.search.worker.execution=sync, hibernate.search.worker.batch_size=100, hibernate.search.default.locking_strategy=simple, hibernate.search.default.directory_provider=filesystem, hibernate.show_sql=false, hibernate.bytecode.use_reflection_optimizer=false, hibernate.search.default.optimizer.transaction_limit.max=100}
